Workcenter,Machine,Job,Type,Priority
1,3,job7923,3,1
4,2,job7971,2,1
1,1,job7942,2,1
3,4,job6805,3,1
4,1,job7981,2,10
5,1,job7484,1,1
3,1,job7083,2,10
1,2,job7952,2,10
4,2,job7991,2,1
3,0,job7883,2,1
4,2,job8001,2,1
4,1,job8011,2,3
1,1,job7552,1,1
4,0,job6964,3,1
1,0,job7972,2,1
3,2,job8021,1,10
3,3,job7793,2,1
1,2,job7982,2,10
3,1,job7465,3,10
5,0,job7662,3,3
3,2,job8031,1,1
3,2,job8041,1,10
3,4,job7643,2,3
1,0,job7992,2,1
1,3,job7663,3,3
1,0,job8012,2,3
2,0,job7893,1,1
1,1,job7742,1,1
5,0,job7144,1,3
3,2,job8051,1,3
3,4,job6965,3,1
3,3,job8061,1,1
4,0,job7654,3,10
1,2,job8002,2,1
4,1,job8071,2,10
3,0,job7973,2,1
4,0,job7114,3,1
4,2,job8081,2,3
3,0,job7943,2,1
5,0,job7722,3,3
1,0,job7912,2,3
2,0,job8091,3,3
4,1,job8101,2,10
1,2,job8072,2,10
3,1,job7655,3,10
3,2,job8111,1,3
3,0,job7993,2,1
2,0,job8121,3,1
5,1,job7174,1,3
1,0,job8102,2,10
2,0,job7743,1,1
1,1,job8082,2,3
3,2,job8131,1,10
4,2,job8141,2,1
1,3,job7723,3,3
1,1,job8032,1,1
4,2,job8151,2,3
3,4,job7115,3,1
4,0,job7124,3,1
3,3,job8003,2,1
3,4,job7763,2,3
1,2,job7442,2,10
2,0,job7553,1,1
4,2,job8161,2,3
5,0,job7752,3,3
3,3,job8171,1,1
3,4,job7125,3,1
1,3,job8142,2,1
1,1,job8052,1,3
3,1,job7833,2,3
5,1,job7684,1,1
3,1,job8083,2,3
4,2,job8181,2,3
1,0,job7753,3,3
3,2,job8191,1,3
1,0,job8152,2,3
4,0,job7154,3,1
3,0,job8201,1,1
3,4,job7913,2,3
5,1,job8122,3,1
2,0,job8053,1,3
1,1,job8112,1,3
1,0,job8162,2,3
4,2,job8211,2,1
3,1,job7155,3,1
3,3,job8143,2,1
4,2,job8221,2,1
5,0,job7554,1,1
4,0,job7734,3,10
2,0,job8033,1,1
1,3,job8123,3,1
1,1,job8182,2,3
2,0,job8231,3,3
2,0,job8241,3,3
1,1,job8192,1,3
2,0,job8113,1,3
5,0,job6492,3,10
3,1,job7735,3,10
1,1,job8212,2,1
3,1,job7203,2,10
4,2,job7754,3,3
2,1,job8251,3,10
3,3,job8261,1,1
3,2,job8271,1,3
1,1,job8202,1,1
5,0,job7744,1,1
1,3,job8222,2,1
4,0,job7194,3,1
3,4,job8183,2,3
4,2,job8281,2,1
3,2,job8291,1,10
3,1,job7283,2,10
5,1,job8252,3,10
1,2,job6493,3,10
3,4,job8013,2,3
1,0,job8253,3,10
3,0,job8301,1,1
5,0,job7872,3,3
3,4,job7195,3,1
2,0,job8193,1,3
3,4,job7755,3,3
2,0,job8311,3,1
3,3,job8321,1,1
4,2,job8331,2,3
3,1,job7343,2,10
3,0,job8153,2,3
5,0,job7504,1,3
1,1,job8272,1,3
1,3,job8282,2,1
4,0,job7544,3,1
1,2,job7852,1,1
3,3,job8341,1,1
3,0,job8213,2,1
4,2,job8351,2,1
1,0,job8332,2,3
3,1,job8163,2,3
4,2,job8361,2,1
5,1,job8312,3,1
1,1,job8302,1,1
3,4,job7545,3,1
3,0,job8223,2,1
1,3,job8313,3,1
2,0,job8273,1,3
1,0,job8352,2,1
1,1,job8062,1,1
4,2,job8371,2,3
2,0,job8381,3,3
5,1,job7894,1,1
3,1,job7433,2,10
2,0,job8303,1,1
2,0,job8391,3,1
1,0,job8362,2,1
2,0,job8401,3,3
4,1,job8411,2,3
4,2,job8421,2,1
4,1,job6494,3,10
5,1,job8092,3,3
3,0,job8353,2,1
2,0,job8203,1,1
4,1,job8431,2,10
1,0,job8372,2,3
3,3,job8451,1,1
3,2,job8461,1,10
4,2,job8441,2,3
1,1,job8412,2,3
4,0,job7494,3,3
4,2,job8471,2,1
5,1,job8034,1,1
2,0,job7853,1,1
2,0,job8063,1,1
4,2,job8481,2,3
1,3,job8093,3,3
1,2,job7873,3,3
1,1,job8422,2,1
3,3,job8363,2,1
1,0,job8432,2,10
3,2,job8491,1,1
1,2,job5082,1,10
3,4,job7495,3,3
3,0,job8283,2,1
2,0,job8501,3,1
5,1,job8392,3,1
3,2,job8511,1,3
1,3,job8472,2,1
4,2,job8521,2,1
4,1,job8531,2,10
3,3,job8413,2,3
4,2,job8541,2,1
3,3,job8333,2,3
3,1,job6495,3,10
3,2,job8551,1,10
4,2,job8561,2,1
5,0,job7854,1,1
1,0,job8442,2,3
1,1,job8492,1,1
3,2,job8571,1,3
1,2,job8532,2,10
3,2,job8581,1,1
3,0,job8423,2,1
1,3,job8393,3,1
3,4,job8373,2,3
4,2,job8591,2,1
3,2,job8601,1,10
3,0,job8611,1,1
1,1,job8522,2,1
1,1,job8172,1,1
4,2,job8621,2,1
5,1,job8502,3,1
4,0,job7604,3,1
4,0,job7874,3,3
2,1,job8631,3,10
1,3,job8503,3,1
2,0,job8493,1,1
1,1,job8512,1,3
1,3,job8542,2,1
3,4,job8443,2,3
5,0,job8064,1,1
3,2,job8641,1,3
3,1,job7605,3,1
2,0,job8651,3,1
3,0,job8473,2,1
5,1,job8632,3,10
1,1,job8262,1,1
1,0,job8562,2,1
3,3,job8523,2,1
1,2,job8633,3,10
5,1,job8232,3,3
4,2,job8661,2,3
1,1,job8582,1,1
2,1,job8671,3,10
1,0,job8592,2,1
3,4,job7875,3,3
1,2,job8233,3,3
3,1,job7443,2,10
