Workcenter,Machine_Number,Bid,Job_Name,Time,PT,PS,RDue,RP,CR,Pool,Setup,
2,1,4.479217515,job5152,430.9,1.766579024,0.05469096,3.526499997,1.373134675,2.719516299,-0.47968677,-4.481516671,5
4,0,1.544384603,job5093,430.9,-0.875018173,0.422437079,-0.39460544,2.196630394,0.352483098,-0.157542355,0,2
4,1,1.667648981,job5093,430.9,0.363772885,0.700011893,1.946655331,0.688762765,-1.834680981,-0.196872912,0,3
2,0,5.392974559,job5015,431,0.272250044,2.607809078,5.36056419,-0.385117424,0.641852912,-0.342490082,-2.761894158,6
2,1,7.88155679,job5015,431,1.766579024,0.136727401,3.10254655,0.781266281,2.670061658,-0.575624124,0,6
3,0,-0.820471962,job5044,431.2,-1.69546567,0.091251825,1.05417573,2.367592395,0.276454379,-0.197166788,-2.717313833,3
3,1,-1.669093457,job5044,431.2,0.01578462,-0.479022633,-0.390992732,1.214186046,1.1537204,-0.143668822,-3.039100336,2
1,0,-5.523997711,job5211,431.4,-1.630299574,-0.176535185,3.05222765,-1.800541073,-2.466900166,-0.749437088,-1.752512275,5.999999998
1,1,-5.990056097,job5211,431.4,-0.656507717,-0.13810368,0.31840394,-0.929453767,1.704887364,-0.083302487,-6.205979749,1
3,0,-0.662233903,job5084,431.6,-1.937675051,0.091251825,1.097032226,2.722731254,0.278906463,-0.197166788,-2.717313833,3
3,1,1.618105374,job5084,431.6,0.018039566,-0.479022633,-0.409344724,1.396313953,1.163953623,-0.071834411,0,1
1,0,-5.871371057,job5006,431.8,-3.260599148,-1.059211111,2.65621129,-0.750225447,-2.458297191,-0.999249451,0,7.999999997
1,1,-0.632594846,job5006,431.8,-1.313015435,-0.82862208,0.280675755,-0.387272403,1.698941804,-0.083302487,0,1
3,0,-0.743413668,job5074,432,-1.937675051,0.091251825,1.082345375,2.722731254,0.278135812,-0.26288905,-2.717313833,4
3,1,1.548473685,job5074,432,0.018039566,-0.479022633,-0.403925864,1.396313953,1.160737485,-0.143668822,0,2
1,0,-6.67502623,job5221,432.2,-2.717165956,-0.176535185,3.013068155,-1.700511013,-2.467026685,-0.87434327,-1.752512275,6.999999998
1,1,-0.174195855,job5221,432.2,-1.094179529,-0.13810368,0.314232486,-0.877817447,1.704974802,-0.083302487,0,1
2,0,7.192564032,job5172,432.2,0.136125022,1.043123631,6.355962847,-0.770234848,0.6559141,-0.228326721,0,4
2,1,3.82750768,job5172,432.2,0.883289512,0.05469096,3.655580258,1.562532561,2.728555183,-0.575624124,-4.481516671,6
4,0,3.08842354,job5143,432.2,-1.31252726,0.422437079,-0.427150806,3.095251919,0.354877908,0,0.9555347,0
4,1,-1.257422116,job5143,432.2,0.545659328,0.700011893,2.065434531,0.970529351,-1.847146008,-0.393745824,-3.298165386,6
2,0,5.437137926,job5025,432.4,0.204187533,2.607809078,5.473666075,-0.443468549,0.642246349,-0.285408402,-2.761894158,5
2,1,3.12799598,job5025,432.4,1.324934268,0.136727401,3.15213682,0.89963996,2.671698326,-0.575624124,-4.481516671,6
4,0,3.018407735,job5113,432.5,-1.31252726,0.422437079,-0.416652461,3.095251919,0.353134936,-0.078771178,0.9555347,1
4,1,-1.22378721,job5113,432.5,0.545659328,0.700011893,2.024372933,0.970529351,-1.838073808,-0.32812152,-3.298165386,5
4,0,2.632486135,job5103,432.7,-1.31252726,0.422437079,-0.402069975,2.695864575,0.352018193,-0.078771178,0.9555347,1
4,1,-1.499045155,job5103,432.7,0.545659328,0.700011893,1.93415622,0.845299757,-1.832261142,-0.393745824,-3.298165386,6
1,0,-3.621206687,job5231,433.2,-1.630299574,-0.176535185,3.077719643,-1.800541073,-2.467019591,-0.624530907,0,4.999999998
1,1,-6.160197769,job5231,433.2,-0.656507717,-0.13810368,0.314784707,-0.929453767,1.704969899,-0.249907461,-6.205979749,3
2,0,7.317041632,job5182,433.2,0.408375066,1.043123631,6.211259145,-0.770234848,0.652845359,-0.228326721,0,4
2,1,5.624791599,job5182,433.2,2.649868536,0.05469096,3.603113541,1.562532561,2.715789441,-0.47968677,-4.481516671,5
3,0,1.82733106,job5144,433.2,-2.906512576,0.091251825,1.177855611,3.314629352,0.281551374,-0.131444525,0,2
3,1,-1.191117028,job5144,433.2,0.027059348,-0.479022633,-0.431236616,1.699860465,1.174991565,-0.143668822,-3.039100336,2
2,0,5.910032837,job5055,433.6,0.476437577,2.607809078,5.736613862,-0.513489899,0.649964779,-0.285408402,-2.761894158,5
2,1,5.371928612,job5055,433.6,3.091513292,0.136727401,3.359396548,1.041688374,2.703806437,-0.47968677,-4.481516671,5
3,0,-0.926223018,job5114,433.7,-2.906512576,0.091251825,1.143259497,3.314629352,0.279907242,-0.131444525,-2.717313833,2
3,1,-1.259216278,job5114,433.7,0.027059348,-0.479022633,-0.420640039,1.699860465,1.168130151,-0.215503233,-3.039100336,3
4,0,2.581017519,job5123,433.8,-0.875018173,0.422437079,-0.391752502,2.196630394,0.351957198,-0.078771178,0.9555347,1
4,1,1.501819537,job5123,433.8,0.363772885,0.700011893,1.909337177,0.688762765,-1.831943662,-0.32812152,0,5
2,0,5.547676036,job5085,433.9,0.204187533,2.607809078,5.577415245,-0.443468549,0.64903529,-0.285408402,-2.761894158,5
2,1,7.983227546,job5085,433.9,1.324934268,0.136727401,3.305735504,0.89963996,2.699939829,-0.383749416,0,4
1,0,-6.53127885,job5241,434,-2.717165956,-0.176535185,3.031926657,-1.700511013,-2.467043988,-0.749437088,-1.752512275,5.999999998
1,1,-6.464281973,job5241,434,-1.094179529,-0.13810368,0.313416646,-0.877817447,1.70498676,-0.166604974,-6.205979749,2
2,0,5.401057146,job5045,434.3,0.272250044,2.607809078,5.313802403,-0.385117424,0.639615606,-0.285408402,-2.761894158,5
2,0,4.421207085,job5192,434.3,0.408375066,1.043123631,6.134594587,-0.770234848,0.652651208,-0.285408402,-2.761894158,5
2,1,3.516620737,job5045,434.3,1.766579024,0.136727401,3.132496847,0.781266281,2.660754625,-0.47968677,-4.481516671,5
2,1,5.634326623,job5192,434.3,2.649868536,0.05469096,3.613456218,1.562532561,2.714981787,-0.47968677,-4.481516671,5
3,0,-1.931477473,job5104,434.3,-3.390931339,0.091251825,1.097163914,2.841110874,0.278685611,-0.131444525,-2.717313833,2
3,1,-1.485386602,job5104,434.3,0.03156924,-0.479022633,-0.403384844,1.457023255,1.163031949,-0.215503233,-3.039100336,3
3,0,0.482273479,job5007,434.5,-1.937675051,0.159690693,1.044130604,1.065416578,0.28215518,-0.131444525,0,2
3,1,-2.801902896,job5007,434.5,0.018039566,-0.838289608,-0.379110012,0.546383721,1.177511417,-0.287337644,-3.039100336,4
4,0,2.87364987,job5133,434.5,-0.875018173,0.422437079,-0.398854516,2.496170903,0.352151057,-0.078771178,0.9555347,1
4,1,-1.658990038,job5133,434.5,0.363772885,0.700011893,1.953779827,0.78268496,-1.832952697,-0.32812152,-3.298165386,5
2,0,5.409986426,job5075,434.6,0.204187533,2.607809078,5.499577318,-0.443468549,0.646265287,-0.342490082,-2.761894158,6
2,1,3.319442821,job5075,434.6,1.324934268,0.136727401,3.230927816,0.89963996,2.688416817,-0.47968677,-4.481516671,5
1,0,-6.251645352,job5251,435,-2.717165956,-0.176535185,3.0615784,-1.700511013,-2.466874596,-0.499624725,-1.752512275,3.999999999
1,0,-7.078469642,job5036,435,-3.260599148,-1.059211111,2.693810935,-0.750225447,-2.45010787,-0.499624725,-1.752512275,3.999999999
1,1,-0.258350885,job5251,435,-1.094179529,-0.13810368,0.313485053,-0.877817447,1.704869692,-0.166604974,0,2
1,1,-6.932269407,job5036,435,-1.313015435,-0.82862208,0.275943112,-0.387272403,1.693282122,-0.166604974,-6.205979749,2
1,0,-7.077520695,job5036,435.1,-3.260599148,-1.059211111,2.693810935,-0.750225447,-2.449158923,-0.499624725,-1.752512275,3.999999999
1,1,-7.018664097,job5036,435.1,-1.313015435,-0.82862208,0.273506732,-0.387272403,1.6926263,-0.249907461,-6.205979749,3
4,0,3.015099299,job5163,435.3,-1.31252726,0.422437079,-0.42079271,3.095251919,0.353966748,-0.078771178,0.9555347,1
4,1,-1.195212082,job5163,435.3,0.545659328,0.700011893,2.05727766,0.970529351,-1.842403407,-0.32812152,-3.298165386,5
2,0,4.379756216,job5222,435.4,0.272250044,1.043123631,6.132800232,-0.676873048,0.655757917,-0.285408402,-2.761894158,5
2,1,4.674662579,job5222,435.4,1.766579024,0.05469096,3.617618534,1.373134675,2.727905472,-0.383749416,-4.481516671,4
2,0,4.409857497,job5202,435.5,0.408375066,1.043123631,6.123520971,-0.770234848,0.652375237,-0.285408402,-2.761894158,5
2,1,5.607920286,job5202,435.5,2.649868536,0.05469096,3.588197902,1.562532561,2.713833766,-0.47968677,-4.481516671,5
3,0,-0.731491745,job5124,435.6,-1.69546567,0.091251825,1.075836356,2.367592395,0.278051707,-0.131444525,-2.717313833,2
3,1,-1.803681674,job5124,435.6,0.01578462,-0.479022633,-0.388578218,1.214186046,1.16038649,-0.287337644,-3.039100336,4
4,0,3.014801266,job5173,435.6,-1.31252726,0.422437079,-0.421401873,3.095251919,0.354277879,-0.078771178,0.9555347,1
4,1,-1.182676823,job5173,435.6,0.545659328,0.700011893,2.071432359,0.970529351,-1.844022847,-0.32812152,-3.298165386,5
1,0,-5.34394676,job5261,435.7,-1.902016169,-0.176535185,3.029214163,-1.575473439,-2.466999129,-0.499624725,-1.752512275,3.999999999
1,1,-6.162228211,job5261,435.7,-0.76592567,-0.13810368,0.306004638,-0.813272046,1.704955758,-0.249907461,-6.205979749,3
1,0,-3.099908295,job5066,436,-1.086866383,-1.059211111,2.591081075,-0.625187873,-2.420099278,-0.499624725,0,3.999999999
1,1,-6.109301566,job5066,436,-0.437671812,-0.82862208,0.263063508,-0.322727003,1.67254303,-0.249907461,-6.205979749,3
2,0,4.503002023,job5212,436,0.408375066,1.043123631,6.159386863,-0.770234848,0.65257219,-0.228326721,-2.761894158,4
2,0,6.217439886,job5145,436,0.476437577,2.607809078,5.979073112,-0.513489899,0.657830898,-0.228326721,-2.761894158,4
2,1,5.595345151,job5212,436,2.649868536,0.05469096,3.574803456,1.562532561,2.714653078,-0.47968677,-4.481516671,5
2,1,5.514399604,job5145,436,3.091513292,0.136727401,3.469145056,1.041688374,2.736528921,-0.47968677,-4.481516671,5
3,0,-0.599682437,job5134,436.1,-1.937675051,0.091251825,1.0943221,2.722731254,0.278445792,-0.131444525,-2.717313833,2
3,1,1.484292051,job5134,436.1,0.018039566,-0.479022633,-0.39756672,1.396313953,1.162031118,-0.215503233,0,3
1,0,-7.627728827,job5026,436.2,-3.532315743,-1.059211111,2.532401313,-0.800240477,-2.391319626,-0.624530907,-1.752512275,4.999999998
1,1,-1.00319561,job5026,436.2,-1.422433388,-0.82862208,0.258204617,-0.413090563,1.652653265,-0.249907461,0,3
1,0,-3.473403493,job5271,436.6,-1.630299574,-0.176535185,3.100673062,-1.800541073,-2.467075997,-0.499624725,0,3.999999999
1,1,-6.161557271,job5271,436.6,-0.656507717,-0.13810368,0.313386223,-0.929453767,1.705008882,-0.249907461,-6.205979749,3
3,0,-0.905540887,job5094,436.7,-1.69546567,0.091251825,1.036021882,2.367592395,0.275261564,-0.26288905,-2.717313833,4
3,0,1.667048333,job5164,436.7,-2.906512576,0.091251825,1.150048271,3.314629352,0.280520512,-0.26288905,0,4
